iter	Logloss
351	0.07609593332
352	0.07575786897
353	0.07574225259
354	0.07565632508
355	0.07549195232
356	0.0752526297
357	0.07499199584
358	0.07464401997
359	0.07440690621
360	0.07401856184
361	0.07371866584
362	0.07341981988
363	0.07326355987
364	0.07306281293
365	0.07274152817
366	0.07273106081
367	0.07245557626
368	0.07194051052
369	0.07171826909
370	0.0715169514
371	0.07131763638
372	0.07108880694
373	0.07077732005
374	0.07060324265
375	0.07034027264
376	0.07022502532
377	0.06992904934
378	0.06955065608
379	0.0693422167
380	0.06904942912
381	0.06891466931
382	0.06874706756
383	0.06857855898
384	0.06830529667
385	0.06813849973
386	0.06777115889
387	0.06740409178
388	0.06730561866
389	0.0669818607
390	0.06662507859
391	0.06650681014
392	0.06619056456
393	0.06598827532
394	0.06566763753
395	0.06530777579
396	0.06514554636
397	0.06499681982
398	0.06476776422
399	0.06455467213
