feature,importance
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_2,0.033331625
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.03320399
P_BIOPRO__LBDSCRSI_Creatinine_refrigerated_serum_umol_L,0.03257774
P_TST__LBDESOSI_Estrone_pmol_L,0.03208816
P_FETIB__LBDPCT_Transferrin_Saturation,0.03198624
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.031493347
P_CBC__LBDBANO_Basophils_number_1000_cells_uL,0.030620707
P_FETIB__LBDIRNSI_Iron_frozen_Serum_umol_L,0.03054988
P_HUQ__HUQ010_General_health_condition_4.0,0.030019673
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_3.0,0.029881408
P_SLQ__SLD013_Sleep_hours_weekends_3,0.029854655
P_PAQ__PAQ620_Moderate_work_activity_2.0,0.029778648
P_CBC__LBXWBCSI_White_blood_cell_count_1000_cells_uL,0.029457025
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_1.0,0.027954133
P_CBC__LBXEOPCT_Eosinophils_percent,0.027307099
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.02730489
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_3.0,0.026266111
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_1.0,0.026253194
P_CBC__LBXHCT_Hematocrit,0.02609419
P_PBCD__LBDBMNSI_Blood_manganese_nmol_L,0.025439082
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.0246685
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.024331333
P_MCQ__MCQ550_Has_DR_ever_said_you_have_gallstones_2.0,0.024140844
P_DEMO__INDFMPIR_Ratio_of_family_income_to_poverty,0.023960834
P_BIOPRO__LBDSUASI_Uric_acid_umol_L,0.021808978
P_BIOPRO__LBXSCK_Creatine_Phosphokinase_CPK_IU_L,0.021778155
P_DBQ__DBQ945_Shared_food_shopping_duty_2.0,0.021547792
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_2.0,0.021547442
P_SMQFAM__SMD460_of_people_who_live_here_smoke_tobacco_2.0,0.020646583
P_OHXDEN__OHXRRES_Root_caries_restoration_2.0,0.020639133
P_SMQ__SMQ020_Smoked_at_least_100_cigarettes_in_life_2.0,0.020530514
P_TST__LBD17HSI_17_hydroxyprogesterone_nmol_L,0.019841867
P_FETIB__LBDTIBSI_Tot_Iron_Binding_Capacity_TIBC_umol_L,0.019395474
P_BIOPRO__LBXSAL_Albumin_refrigerated_serum_g_dL,0.018933434
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_3.0,0.018608999
P_BIOPRO__LBDSGBSI_Globulin_g_L,0.018467424
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.016633825
P_MCQ__MCQ160A_2.0,0.016530579
P_CBC__LBDLYMNO_Lymphocyte_number_1000_cells_uL,0.015258424
P_MCQ__MCQ366C_2.0,0.014645124
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_4.0,0.013431669
P_SLQ__SLQ300_Usual_sleep_time_on_weekdays_or_workdays_4,0.012355328
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_2.0,0.012338565
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_2.0,0.0121117495
P_ALQ__ALQ151_Ever_have_4_5_or_more_drinks_every_day_2.0,0.012111614
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_3.0,0.011697386
P_IMQ__IMQ011_Received_Hepatitis_A_vaccine_3.0,0.011645991
P_DEMO__DMDMARTZ_Marital_status_2.0,0.011637781
P_HUQ__HUQ010_General_health_condition_2.0,0.01134377
P_FSQ__FSDHH_Household_food_security_category_3.0,0.011292198
P_MCQ__MCQ366A_2.0,0.0093184225
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_4.0,0.009277403
P_DPQ__DPQ010_Have_little_interest_in_doing_things_1.0,0.009088471
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_2.0,0.009027152
P_WHQ__WHQ225_Times_lost_10_lbs_or_more_to_lose_weight_3.0,0.008760166
P_KIQ_U__KIQ005_How_often_have_urinary_leakage_4.0,0.008515949
P_MCQ__MCQ371D_2.0,0.007861275
P_DEMO__DMDEDUC2_Education_level_Adults_20_4.0,0.007775853
