feature,importance
P_SLQ__SLD013_Sleep_hours_weekends_3,0.016812889
P_MCQ__MCQ080_Doctor_ever_said_you_were_overweight_2.0,0.016264057
P_FASTQX__PHQ040_Gum_mints_lozenges_or_cough_drops_2.0,0.016011037
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.015827235
P_CBC__LBXLYPCT_Lymphocyte_percent,0.015334387
P_CBC__LBXNEPCT_Segmented_neutrophils_percent,0.01526624
P_TST__LBDESOSI_Estrone_pmol_L,0.014550248
P_TST__LBDANDSI_Androstenedione_nmol_L,0.014206632
P_MCQ__MCQ366A_2.0,0.014063651
P_HUQ__HUQ030_Routine_place_to_go_for_healthcare_2.0,0.013851819
P_MCQ__MCQ371D_2.0,0.013261813
P_BMX__BMXARML_Upper_Arm_Length_cm,0.013192555
P_CBC__LBDBANO_Basophils_number_1000_cells_uL,0.012478534
P_BIOPRO__LBXSC3SI_Bicarbonate_mmol_L,0.012022477
P_KIQ_U__KIQ046_Leak_urine_during_nonphysical_activities_2.0,0.011529753
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_8.0,0.011173221
P_CBC__LBXRDW_Red_cell_distribution_width,0.011153121
P_PBCD__LBDTHGSI_Blood_mercury_total_nmol_L,0.010993509
P_CBC__LBDMONO_Monocyte_number_1000_cells_uL,0.010981019
P_CBC__LBXBAPCT_Basophils_percent,0.010775027
P_BIOPRO__LBDSPHSI_Phosphorus_mmol_L,0.010377729
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_9.0,0.010372687
P_HSQ__HSQ590_Blood_ever_tested_for_HIV_virus_2.0,0.010239148
P_BIOPRO__LBXSATSI_Alanine_Aminotransferase_ALT_U_L,0.009806324
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.009730566
P_BIOPRO__LBXSNASI_Sodium_mmol_L,0.009694415
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_4.0,0.0095580965
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.009374091
P_SLQ__SLD013_Sleep_hours_weekends_4,0.009162163
P_CBC__LBDEONO_Eosinophils_number_1000_cells_uL,0.0089810835
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_6.0,0.00859547
P_FSQ__FSQ165_HH_FS_benefit_ever_received_2.0,0.008264881
P_SLQ__SLQ030_How_often_do_you_snore_1.0,0.00825936
P_WHQ__WHQ040_Like_to_weigh_more_less_or_same_2.0,0.007975886
P_OHQ__OHQ033_Main_reason_for_last_dental_visit_3.0,0.007889477
P_DBQ__DBQ229_Regular_milk_use_5_times_per_week_3.0,0.0077936137
P_CBC__LBDLYMNO_Lymphocyte_number_1000_cells_uL,0.0077915173
P_ALQ__ALQ121_Past_12_mo_how_often_drink_alcoholic_bev_6.0,0.007567278
P_BIOPRO__LBDSIRSI_Iron_refrigerated_serum_umol_L,0.006681378
P_WHQ__WHQ070_Tried_to_lose_weight_in_past_year_2.0,0.006671241
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_2.0,0.0061794976
P_FETIB__LBDIRNSI_Iron_frozen_Serum_umol_L,0.005932426
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.005818713
P_CBC__LBXWBCSI_White_blood_cell_count_1000_cells_uL,0.005663257
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_2.0,0.005619322
P_MCQ__MCQ220_Ever_told_you_had_cancer_or_malignancy_2.0,0.0053630644
P_DPQ__DPQ040_Feeling_tired_or_having_little_energy_3.0,0.005295779
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_4.0,0.0052576805
P_MCQ__MCQ300A_2.0,0.0052066133
P_SMQSHS__SMQ866_Last_7_d_spent_time_in_a_bar_2.0,0.0051591876
P_HUQ__HUQ010_General_health_condition_3.0,0.0051192795
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_7.0,0.0050325445
P_FSQ__FSDAD_Adult_food_security_category_4.0,0.004867662
P_HEPA__LBXHA_Hepatitis_A_antibody_2.0,0.0042463397
P_WHQ__WHQ040_Like_to_weigh_more_less_or_same_3.0,0.0041840295
P_DBQ__DBQ197_Past_30_day_milk_product_consumption_3.0,0.003929452
P_HIQ__HIQ270_Do_plans_cover_prescriptions_2.0,0.003709463
P_SLQ__SLQ030_How_often_do_you_snore_2.0,0.0036712924
P_HEPC__LBXHCR_Hepatitis_C_RNA_3.0,0.0036546257
P_KIQ_U__KIQ480_How_many_times_urinate_in_night_1.0,0.0036305883
P_HUQ__HUQ090_Seen_mental_health_professional_past_yr_2.0,0.0035608807
P_SLQ__SLD012_Sleep_hours_weekdays_or_workdays_4,0.0035494743
P_BMX__BMXBMI_Body_Mass_Index_kg_m_2,0.0035272061
P_IMQ__IMQ020_Received_Hepatitis_B_3_dose_series_2.0,0.0035117704
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.0034932161
P_AUQ__AUQ054_General_condition_of_hearing_5.0,0.0034851313
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.0034528805
P_DPQ__DPQ050_Poor_appetite_or_overeating_3.0,0.0034120416
P_DBQ__DBQ700_How_healthy_is_the_diet_3.0,0.0033497496
P_MCQ__MCQ053_Taking_treatment_for_anemia_past_3_mos_2.0,0.0031521241
P_COT__LBXCOT_Cotinine_Serum_ng_mL,0.0030737626
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_4,0.0028939534
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_4.0,0.0028559472
P_DPQ__DPQ020_Feeling_down_depressed_or_hopeless_2.0,0.0028333438
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_2,0.0027734088
P_KIQ_U__KIQ044_Urinated_before_reaching_the_toilet_2.0,0.0024673515
P_SMQ__SMQ020_Smoked_at_least_100_cigarettes_in_life_2.0,0.0024149215
P_MCQ__MCQ550_Has_DR_ever_said_you_have_gallstones_2.0,0.0023457734
P_PAQ__PAQ635_Walk_or_bicycle_2.0,0.0021329771
P_AUQ__AUQ054_General_condition_of_hearing_4.0,0.0021083576
P_FSQ__FSD151_HH_Emergency_food_received_2.0,0.0020589964
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_3.0,0.0019508377
P_OHQ__OHQ845_Rate_the_health_of_your_teeth_and_gums_3.0,0.0018634247
P_HEPC__LBDHCI_Hepatitis_C_Antibody_confirmed_4.0,0.0016901505
P_FSQ__FSDHH_Household_food_security_category_4.0,0.0015774074
P_SLQ__SLQ320_Usual_sleep_time_on_weekends_5,0.0014093091
P_DBQ__DBQ945_Shared_food_shopping_duty_2.0,0.0013185273
P_SLQ__SLQ120_How_often_feel_overly_sleepy_during_day_2.0,0.0013176138
P_HEQ__HEQ010_Ever_told_you_have_Hepatitis_B_2.0,0.0012237466
P_DBQ__DBQ930_Main_meal_planner_preparer_2.0,0.0011992328
P_FETIB__LBDPCT_Transferrin_Saturation,0.0011461878
P_PAQ__PAQ650_Vigorous_recreational_activities_2.0,0.001138104
P_MCQ__MCQ160B_2.0,0.0010995618
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_6.0,0.0010228623
P_SMQSHS__SMQ940_Last_7_d_someone_used_e_cigs_indoors_2.0,0.0010193702
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.0009948501
P_OHQ__OHQ030_When_did_you_last_visit_a_dentist_2.0,0.0009925457
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.00081630726
P_DPQ__DPQ050_Poor_appetite_or_overeating_1.0,0.0006004472
P_SMQSHS__SMQ860_Last_7_d_spent_time_in_a_restaurant_2.0,0.0005732054
P_DPQ__DPQ010_Have_little_interest_in_doing_things_2.0,0.00047315028
P_DPQ__DPQ050_Poor_appetite_or_overeating_2.0,0.00033395257
P_HUQ__HUQ051_times_receive_healthcare_over_past_year_2.0,0.00033160034
P_MCQ__MCQ520_Abdominal_pain_during_past_12_months_2.0,0.00025720117
