,mean_abs_shap
P_TST__LBDESTSI_Estradiol_pmol_L,0.0017421692499929842
P_TST__LBDESOSI_Estrone_pmol_L,0.000784532673585245
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.000669370247054854
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.00529118253000229
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.0021202090387729914
P_TST__LBDPG4SI_Progesterone_nmol_L,0.0016527170291114736
P_TST__LBXSHBG_SHBG_nmol_L,0.0019200846472903852
P_DBQ__DBD895_of_meals_not_home_prepared,0.0003748514959945812
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.0003188649615775786
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.0002713809032560884
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.00025428959379561
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.0009714572130870861
P_MCQ__MCQ160A,0.0025417656959267777
P_MCQ__MCQ160B,0.0006349826026351315
P_MCQ__MCQ160C,0.0007569950104297123
P_MCQ__MCQ160D,0.00017253012545031453
P_MCQ__MCQ160E,0.00040639762483283686
P_MCQ__MCQ160F,0.00043446050528302165
P_MCQ__MCQ160M,0.00038132268043532274
P_MCQ__MCQ160P,0.0003613219217196788
P_MCQ__MCQ160L,0.00028297940525215577
P_MCQ__MCQ300B,0.00011360593827186261
P_MCQ__MCQ300C,0.017138790183676752
P_MCQ__MCQ300A,0.0003139042115657296
P_MCQ__MCQ366A,0.006374411647645072
P_MCQ__MCQ366B,0.008780611991032625
P_MCQ__MCQ366C,0.009954558691170535
P_MCQ__MCQ366D,0.010021773501843365
P_MCQ__MCQ371A,0.0002681524881902838
P_MCQ__MCQ371B,0.00016089461100779508
P_MCQ__MCQ371C,0.0028990198189899545
P_MCQ__MCQ371D,0.0016078335922453883
P_PAQ__PAD680_Minutes_sedentary_activity,0.0005754144738443973
P_WHQ__WHD010_Current_self_reported_height_inches,0.0007283986498186513
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.002778984737706702
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.004710644605574989
P_WHQ__WHD120_Self_reported_weight_age_25_pounds,0.0008426151121645315
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.0038643600519439173
P_WHQ__WHQ150_Age_when_heaviest_weight,0.013631064654456581
BP_sys_median,0.004383955665416497
BP_dia_median,0.0008046874162705648
Pulse_median,0.002346785822867262
P_DEMO__RIAGENDR_Gender_2.0,0.00021125816298278845
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_2.0,0.00017615605081767807
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.0006683129706439979
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_4.0,0.000281641878732332
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_6.0,0.0002813362478826399
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_7.0,3.5525869331850385e-05
P_DEMO__RIDEXMON_Six_month_time_period_2.0,0.00013525859725503975
P_DEMO__DMDBORN4_Country_of_birth_2.0,0.0012411732568469768
P_DEMO__DMDBORN4_Country_of_birth_77.0,5.809143397876069e-06
P_DEMO__DMDBORN4_Country_of_birth_99.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_2.0,0.00014367314150352296
P_DEMO__DMDEDUC2_Education_level_Adults_20_3.0,0.00014282439371929051
P_DEMO__DMDEDUC2_Education_level_Adults_20_4.0,0.00012241810047704393
P_DEMO__DMDEDUC2_Education_level_Adults_20_5.0,0.00012858538577220359
P_DEMO__DMDEDUC2_Education_level_Adults_20_7.0,1.8773067771713877e-06
P_DEMO__DMDEDUC2_Education_level_Adults_20_9.0,4.045651702561873e-06
P_DEMO__DMDMARTZ_Marital_status_2.0,0.0001517332339155846
P_DEMO__DMDMARTZ_Marital_status_3.0,7.024328183070214e-05
