,mean_abs_shap
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.021848281197561346
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.034869681546058254
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.04569137916168229
P_TST__LBDPG4SI_Progesterone_nmol_L,0.0480016052803915
P_TST__LBXSHBG_SHBG_nmol_L,0.057579306445644476
P_DBQ__DBD895_of_meals_not_home_prepared,0.02038750965537273
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.01937850337377177
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.006714460243834813
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.01501816230799637
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.02194729761291346
P_MCQ__MCQ160A,0.036848421558842735
P_MCQ__MCQ160B,0.037745846527738
P_MCQ__MCQ160C,0.05629545626148485
P_MCQ__MCQ160D,0.0014097134030056214
P_MCQ__MCQ160E,0.0
P_MCQ__MCQ160F,0.0009254204938226936
P_MCQ__MCQ160M,0.0029135083321233106
P_MCQ__MCQ160P,0.006727213939222943
P_MCQ__MCQ160L,0.0009667828229498043
P_MCQ__MCQ300B,0.0036838463477925506
P_MCQ__MCQ300C,0.4481387756561777
P_MCQ__MCQ300A,0.013689364106877478
P_MCQ__MCQ366A,0.0481555128708404
P_MCQ__MCQ366B,0.0381373432834003
P_MCQ__MCQ366C,0.021673843482698275
P_MCQ__MCQ366D,0.14674840997824215
P_MCQ__MCQ371A,0.0010032233819348376
P_MCQ__MCQ371B,0.0012261476626900854
P_MCQ__MCQ371C,0.02762092403057957
P_MCQ__MCQ371D,0.029776582514237596
P_PAQ__PAD680_Minutes_sedentary_activity,0.018682491319860495
P_WHQ__WHD010_Current_self_reported_height_inches,0.017701411248749445
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.013683592581863245
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.02748145654275586
P_WHQ__WHD120_Self_reported_weight_age_25_pounds,0.04130058710486216
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.07626377027129468
P_WHQ__WHQ150_Age_when_heaviest_weight,0.13743822081934073
BP_sys_median,0.05674769408067393
BP_dia_median,0.06742246359755563
Pulse_median,0.15913250344660995
P_DEMO__RIAGENDR_Gender_2.0,0.0
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_2.0,0.004937314376132925
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_3.0,0.11637001628069088
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_4.0,0.02112256855367289
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_6.0,0.03912692516376081
P_DEMO__RIDRETH3_Race_Hispanic_origin_w_NH_Asian_7.0,0.0
P_DEMO__RIDEXMON_Six_month_time_period_2.0,0.031426427452849764
P_DEMO__DMDBORN4_Country_of_birth_2.0,0.014936112823726576
P_DEMO__DMDBORN4_Country_of_birth_77.0,0.0
P_DEMO__DMDBORN4_Country_of_birth_99.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_2.0,0.0007895465432950486
P_DEMO__DMDEDUC2_Education_level_Adults_20_3.0,0.0039051853548674616
P_DEMO__DMDEDUC2_Education_level_Adults_20_4.0,0.0033626310562909476
P_DEMO__DMDEDUC2_Education_level_Adults_20_5.0,0.001378492379099621
P_DEMO__DMDEDUC2_Education_level_Adults_20_7.0,0.0
P_DEMO__DMDEDUC2_Education_level_Adults_20_9.0,0.0
P_DEMO__DMDMARTZ_Marital_status_2.0,0.002129301038060243
P_DEMO__DMDMARTZ_Marital_status_3.0,0.0039689311143548175
P_DEMO__DMDMARTZ_Marital_status_77.0,0.0
P_DEMO__DMDMARTZ_Marital_status_99.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_2.0,0.0009836777238101681
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_3.0,0.0
P_BMX__BMDSTATS_Body_Measures_Component_Status_Code_4.0,0.0
P_BPXO__BPAOARM_Arm_selected_oscillometric_R,0.0
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_3.0,0.0022234633057873665
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_4.0,0.0024184737627235926
P_BPXO__BPAOCSZ_Coded_cuff_size_oscillometric_5.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_OHXDEN__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_2.0,0.0
P_OHXDEN__OHDDESTS_Dentition_Status_Code_3.0,0.0
P_OHXDEN__OHXIMP_Dental_Implant_yes_no_2.0,0.0
P_OHXDEN__OHXRCAR_Root_caries_2.0,0.0013171846513993755
P_OHXDEN__OHXRCAR_Root_caries_9.0,0.0
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_2.0,0.0017970692216251313
P_OHXDEN__OHXRCARO_Other_non_carious_root_lesion_9.0,0.0
P_OHXDEN__OHXRRES_Root_caries_restoration_2.0,6.352720105177429e-06
P_OHXDEN__OHXRRES_Root_caries_restoration_9.0,0.0
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_2.0,0.002782429016630813
P_OHXDEN__OHXRRESO_Other_non_carious_root_restoration_9.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_2.0,0.0
P_OHXREF__OHDEXSTS_Overall_Oral_Health_Exam_Status_3.0,0.0
P_FASTQX__PHQ020_Coffee_or_tea_with_cream_or_sugar_2.0,0.0
