,mean_abs_shap
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.012501196381821301
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.03155599696680484
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.01127712657592518
P_TST__LBDPG4SI_Progesterone_nmol_L,0.01741910606068376
P_TST__LBXSHBG_SHBG_nmol_L,0.04766580716878398
P_DBQ__DBD895_of_meals_not_home_prepared,0.02929023280308509
P_DBQ__DBD900_of_meals_from_fast_food_or_pizza_place,0.0
P_DBQ__DBD905_of_ready_to_eat_foods_in_past_30_days,0.002839094062478858
P_DBQ__DBD910_of_frozen_meals_pizza_in_past_30_days,0.0042865944151496
P_INQ__INDFMMPI_Family_monthly_poverty_level_index,0.010800483672026986
P_MCQ__MCQ160A,0.0333576471466332
P_MCQ__MCQ160B,0.0
P_MCQ__MCQ160C,0.0013570222238979022
P_MCQ__MCQ160D,0.0
P_MCQ__MCQ160E,0.0
P_MCQ__MCQ160F,0.0
P_MCQ__MCQ160M,0.0
P_MCQ__MCQ160P,0.0
P_MCQ__MCQ160L,0.0
P_MCQ__MCQ300B,0.0
P_MCQ__MCQ300C,0.34954844078762937
P_MCQ__MCQ300A,0.0
P_MCQ__MCQ366A,0.013068635855191796
P_MCQ__MCQ366B,0.07209845520562545
P_MCQ__MCQ366C,0.0
P_MCQ__MCQ366D,0.14997946413514812
P_MCQ__MCQ371A,0.0
P_MCQ__MCQ371B,0.0010907084213896178
P_MCQ__MCQ371C,0.006945536020318873
P_MCQ__MCQ371D,0.02210264410619858
P_PAQ__PAD680_Minutes_sedentary_activity,0.015490748300187436
P_WHQ__WHD010_Current_self_reported_height_inches,0.0
P_WHQ__WHD020_Current_self_reported_weight_pounds,0.004302691675704574
P_WHQ__WHD050_Self_reported_weight_1_yr_ago_pounds,0.009110077761546435
P_WHQ__WHD120_Self_reported_weight_age_25_pounds,0.0426495899725058
P_WHQ__WHD140_Self_reported_greatest_weight_pounds,0.027161926454357964
P_WHQ__WHQ150_Age_when_heaviest_weight,0.07306112892603445
BP_sys_median,0.027378220433873328
BP_dia_median,0.04279863216189293
Pulse_median,0.11904277744322464
