,mean_abs_shap
P_CBC__LBXRBCSI_Red_blood_cell_count_million_cells_uL,0.020689012
P_CBC__LBXHGB_Hemoglobin_g_dL,0.008904236
P_CBC__LBXHCT_Hematocrit,0.009130789
P_CBC__LBXMCVSI_Mean_cell_volume_fL,0.022792397
P_CBC__LBXMC_Mean_Cell_Hgb_Conc_g_dL,0.055570528
P_CBC__LBXMCHSI_Mean_cell_hemoglobin_pg,0.09025896
P_CBC__LBXRDW_Red_cell_distribution_width,0.008035845
P_CBC__LBXPLTSI_Platelet_count_1000_cells_uL,0.036228076
P_CBC__LBXMPSI_Mean_platelet_volume_fL,0.07772166
P_CBC__LBXNRBC_Nucleated_red_blood_cells_100_WBC,0.0025624102
P_COT__LBXCOT_Cotinine_Serum_ng_mL,0.003358073
P_COT__LBXHCOT_Hydroxycotinine_Serum_ng_mL,0.0
P_FASTQX__PHAFSTMN_Total_length_of_food_fast_minutes,0.01145844
P_FERTIN__LBDFERSI_Ferritin_ug_L,0.050429385
P_FETIB__LBDIRNSI_Iron_frozen_Serum_umol_L,0.0027748805
P_FETIB__LBDUIBSI_UIBC_Serum_umol_L,0.014424655
P_FETIB__LBDTIBSI_Tot_Iron_Binding_Capacity_TIBC_umol_L,0.046555977
P_FETIB__LBDPCT_Transferrin_Saturation,0.0025996377
P_HDL__LBDHDDSI_Direct_HDL_Cholesterol_mmol_L,0.066868015
P_HSCRP__LBXHSCRP_HS_C_Reactive_Protein_mg_L,0.018917833
P_IHGEM__LBDIHGSI_Mercury_inorganic_nmol_L,0.025698252
P_IHGEM__LBDBGESI_Mercury_ethyl_nmol_L,0.0012723155
P_IHGEM__LBDBGMSI_Mercury_methyl_nmol_L,0.038383406
P_PBCD__LBDBPBSI_Blood_lead_umol_L,0.1179765
P_PBCD__LBDBCDSI_Blood_cadmium_nmol_L,0.09513381
P_PBCD__LBDTHGSI_Blood_mercury_total_nmol_L,0.024089005
P_PBCD__LBDBSESI_Blood_selenium_umol_L,0.0381098
P_PBCD__LBDBMNSI_Blood_manganese_nmol_L,0.06265083
P_TCHOL__LBDTCSI_Total_Cholesterol_mmol_L,0.14561847
P_TST__LBD17HSI_17_hydroxyprogesterone_nmol_L,0.03426935
P_TST__LBDANDSI_Androstenedione_nmol_L,0.021453816
P_TST__LBDESTSI_Estradiol_pmol_L,0.037114378
P_TST__LBDESOSI_Estrone_pmol_L,0.010747976
P_TST__LBDES1SI_Estrone_Sulfate_pmol_L,0.012503599
P_TST__LBXFSH_Follicle_Stimulating_Hormone_mIU_mL,0.033823516
P_TST__LBXLUH_Luteinizing_Hormone_mIU_mL,0.026978115
P_TST__LBDPG4SI_Progesterone_nmol_L,0.016386991
P_TST__LBXSHBG_SHBG_nmol_L,0.102372475
P_DBQ__DBD895_of_meals_not_home_prepared,0.018576393
